ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
4001,simple,23445,Angel Wall Mixer 3 in 1 System - 23445,1,1,visible,,,,,taxable,,1,9,,0,0,,,,,1,,4675,5500,Taps & Mixers,,,https://i.postimg.cc/VN5nbtGB/23445.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,0,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,1,0,,
4002,simple,23318,Angel Wall Mixer with Stand - 23318,1,1,visible,,,,,taxable,,1,4,,0,0,,,,,1,,4335,5100,Taps & Mixers,,,https://i.postimg.cc/X78CHLtk/23318-23333.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Wall Mixer,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,1,,,
4003,simple,23999,Angel Swan Neck with D Bend Spout - 23999,1,1,visible,,,,,taxable,,1,18,,0,0,,,,,1,,1870,2200,Taps & Mixers,,,https://i.postimg.cc/tC2stTVr/23999.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,1,,,
4004,simple,23089,Angel Two Way Bib Cock - 23089,1,0,visible,,,,,taxable,,1,11,,0,0,,,,,1,,1466,1725,Taps & Mixers,,,https://i.postimg.cc/vZCH368v/23089.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Bib Cock (2 Way),1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,1,,,
4005,simple,23103,Angel Angle Cock - 23103,1,0,visible,,,,,taxable,,1,25,,0,0,,,,,1,,850,1000,Bathroom > Accessories > Angle Cock,,,https://i.postimg.cc/85mppKRy/23103.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Angle Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,1,,,
4006,simple,23888,Angel Sink Cock With D Bend Spout - 23888,1,0,visible,,,,,taxable,,1,68,,0,0,,,,,1,,1870,2200,Taps & Mixers,,,https://i.postimg.cc/8CVg7dPx/23888.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Sink Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4007,simple,23019,Angel Pillar Cock Extended Body - 23019,1,0,visible,,,,,taxable,,1,9,,0,0,,,,,1,,1692,1990,Taps & Mixers,,,https://i.postimg.cc/fWg4cQRc/23019.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4008,simple,23152,Angel Concealed Stop Cock 20mm - 23152,1,0,visible,,,,,taxable,,1,43,,0,0,,,,,1,,1063,1250,Taps & Mixers,,,https://i.postimg.cc/Y9qVFdcD/23152.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Concealed Stop Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4009,simple,23049,Angel Exposed Kit for Single Lever Diverter Body High Flow (Suitable for ALD 049) - 23049K,1,0,visible,,,,,taxable,,1,80,,0,0,,,,,1,,1445,1700,Taps & Mixers,,,https://i.postimg.cc/3NkcSWxg/23049K.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Diverter Body (High Flow),1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
4010,simple,23011,Angel Pillar Cock - 23011,1,0,visible,,,,,taxable,,1,128,,0,0,,,,,1,,1190,1400,Taps & Mixers,,,https://i.postimg.cc/5NFr8HGJ/23011.jpg,,,,,,,,,,Finish,Chrome,1,0,Material,Brass ,1,0,,Package Content,One Pillar Cock,1,,Key Feature,Anti Corrosive and Easy to Clean..,1,0,,Brand Name,Elvis,1,0,,,,,,
