Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
ABS Tissue Paper Dispenser-4140,7001,simple,PLATO4140,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Others,,,https://i.postimg.cc/CxwLQMJk/4140.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,"Complete Set with Hand Shower, Flexible Tube (1.5 Meter) and Wall Hook.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Tissue Paper Dispenser-4141,7002,simple,PLATO4141,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Others,,,https://i.postimg.cc/cCqdMdrK/4141.jpg,,,,,,,,,,Material,Stainless Steel,1,0,,,1,0,,Package Content,"Complete Set with Hand Shower, Flexible Tube (1.5 Meter) and Wall Hook.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Spl. Tissue Paper Dispenser-4142,7003,simple,PLATO4142,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Others,,,https://i.postimg.cc/wMhgwnmw/4142.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,"Complete Set with Hand Shower, Flexible Tube (1.5 Meter) and Wall Hook.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Bling ABS Tissue Paper Dispenser-4143,7004,simple,PLATO4143,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Others,,,https://i.postimg.cc/4x4s1LN1/4143.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,"Hand Shower, 1.5 Meter Flexible Tube & Wall Hook",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Turbo ABS Tissue Paper Dispenser - 4144,7005,simple,PLATO4144,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Others,,,https://i.postimg.cc/25Psg2mM/4144.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,Complete Pack of Health Faucet with 1mtr Tube & Wall hook,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
ABS Tissue Paper Dispenser (Automatic)- 4145,7006,simple,PLATO4145,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Bathroom > Accessories > Others,,,https://i.postimg.cc/8P4VsRBf/4145.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,Complete Pack of Health Faucet with Tube & Wall hook,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
C.P Brass Shower Grab Bar - 4135,7007,simple,PLATO4135,1,0,visible,,,,,taxable,,0,,,,,,,,,,,,,Special Products,,,https://i.postimg.cc/ncjth8bf/4135.jpg,,,,,,,,,,Finish,Chrome ,1,0,Material,Brass,1,0,,Package Content,Grab Bar Only,1,0,,,,0,,,,1,0,Brand ,Plato,1,0,,
Disabled Grab Bar U-Shaped - 4231,7008,simple,PLATO4231,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/yNS5hc9P/4231.png,,,,,,,,,,Finish,Chrome ,1,0,Material,SS 304,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disabled Grab Bar L-Shaped Hand Rail - 4233,7009,simple,PLATO4233,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/sXdLTx4R/4233.jpg,,,,,,,,,,Finish,Chrome ,1,0,Material,SS 304,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Disabled Grab Bar U-Shaped Hand Rail - 4211,7010,simple,PLATO4211,1,0,visible,,,,,taxable,,0,,,0,0,,,,,1,,,,Special Products,,,https://i.postimg.cc/RF7DymgJ/4211.png,,,,,,,,,,Finish,White,1,0,Material,Stainless Steel with Nylon Coated,1,0,,Package Content,Grab Bar Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
