Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
ABS Tissue Paper Dispenser-4140,7001,simple,PLATO4140,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1403,1650,Bathroom > Accessories > Others,,,https://i.postimg.cc/CxwLQMJk/4140.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,"Complete Set with Hand Shower, Flexible Tube (1.5 Meter) and Wall Hook.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
SS Tissue Paper Dispenser-4141,7002,simple,PLATO4141,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,3647,4290,Bathroom > Accessories > Others,,,https://i.postimg.cc/cCqdMdrK/4141.jpg,,,,,,,,,,Material,Stainless Steel,1,0,,,1,0,,Package Content,"Complete Set with Hand Shower, Flexible Tube (1.5 Meter) and Wall Hook.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Spl. Tissue Paper Dispenser-4142,7003,simple,PLATO4142,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1530,1800,Bathroom > Accessories > Others,,,https://i.postimg.cc/wMhgwnmw/4142.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,"Complete Set with Hand Shower, Flexible Tube (1.5 Meter) and Wall Hook.",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Bling ABS Tissue Paper Dispenser-4143,7004,simple,PLATO4143,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1913,2250,Bathroom > Accessories > Others,,,https://i.postimg.cc/4x4s1LN1/4143.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,"Hand Shower, 1.5 Meter Flexible Tube & Wall Hook",1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Turbo ABS Tissue Paper Dispenser - 4144,7005,simple,PLATO4144,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1683,1980,Bathroom > Accessories > Others,,,https://i.postimg.cc/25Psg2mM/4144.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,Complete Pack of Health Faucet with 1mtr Tube & Wall hook,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
ABS Tissue Paper Dispenser (Automatic)- 4145,7006,simple,PLATO4145,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,15300,18000,Bathroom > Accessories > Others,,,https://i.postimg.cc/8P4VsRBf/4145.jpg,,,,,,,,,,Material,ABS,1,0,,,1,0,,Package Content,Complete Pack of Health Faucet with Tube & Wall hook,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
C.P Brass Shower Grab Bar - 4135,7007,simple,PLATO4135,1,0,visible,,,,,taxable,,0,0,,,,,,,,,,1428,1680,Special Products,,,https://i.postimg.cc/ncjth8bf/4135.jpg,,,,,,,,,,Material,Brass,1,0,Size,450 mm,1,0,,Package Content,Grab Bar Only,1,0,,,,0,,,,1,0,Brand ,Plato,1,0,,
Click Clack (Popup) Waste Coupling - 5101,7021,simple,PLATO5101,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1148,1350,Bathroom > Accessories > Allied,,,https://i.postimg.cc/j5rY1Z42/5101.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Click Clack (Popup) Waste Coupling - 5102,7022,simple,PLATO5102,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1352,1590,Bathroom > Accessories > Allied,,,https://i.postimg.cc/0yMg2Ltr/5102.jpg,,,,,,,,,,Material,Brass,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
Click Clack (Popup) Waste Coupling - 5103,7023,simple,PLATO5103,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,1352,1590,Bathroom > Accessories > Allied,,,https://i.postimg.cc/vmfp55ws/5103.jpg,,,,,,,,,,Material,Brass with Ceramic Cover,1,0,Size,32 mm,1,0,,Package Content,Waste Coupling Only,1,0,,,1,0,,,,1,0,Brand ,Plato,1,0,,
