Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
One Piece Closet - Simona,1002,simple,OPCSMNA,1,0,visible,,,,,taxable,,1,,,0,0,,640,350,730,1,,6503,7650,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/vTtWVhTn/Simona.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Opal,1003,simple,OPCOPL,1,0,visible,,,,,taxable,,1,,,0,0,,655,330,650,1,,6630,7800,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/KY3BNx4x/Opal.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Grace,1004,simple,OPCGRCE,1,0,visible,,,,,taxable,,1,,,0,0,,715,376,680,1,,6630,7800,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/nrpmpm2h/Grace.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Codi,1005,simple,OPCCODI,1,0,visible,,,,,taxable,,1,,,0,0,,713,387,682,1,,6673,7850,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/jjyC25Lw/Codi.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Spice,1006,simple,OPCSPICE,1,0,visible,,,,,taxable,,1,,,0,0,,650,330,760,1,,7055,8300,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/vT2ZkxSj/Spice.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Crystal,1007,simple,OPCCRYSTAL,1,0,visible,,,,,taxable,,1,,,0,0,,665,355,710,1,,7438,8750,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/MKXTRtn8/Crystal.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Inox,1010,simple,OPCINOX,1,0,visible,,,,,taxable,,1,,,0,0,,660,355,770,1,,8033,9450,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/85PDGPWV/Inox.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Sesto,1011,simple,OPCSESTO,1,0,visible,,,,,taxable,,1,,,0,0,,645,350,710,1,,8054,9475,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/HkDgxt5z/Sesto.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,9 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
One Piece Closet - Cruiser,1012,simple,OPCCRUISER,1,0,visible,,,,,taxable,,1,,,0,0,,660,360,745,1,,10192,11990,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/xd9VGT6b/Cruiser.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Size,12 Inch,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Wall Hung Closet - Carat,1013,simple,WHCCARAT,1,0,visible,,,,,taxable,,1,,,0,0,,505,370,355,1,,3188,3750,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/Gp3hLQwN/Carat.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,1,0,,
Wall Hung Closet - Zest,1014,simple,WHCZWZEST,1,0,visible,,,,,taxable,,1,,,0,0,,490,345,365,1,,3358,3950,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/ydk198Ny/Zest.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Closet - Semi,1015,simple,WHCSWSEMI,1,0,visible,,,,,taxable,,1,,,0,0,,490,325,330,1,,3230,3800,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/BbFJY7H8/Semi.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,, ,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Closet - Rio,1016,simple,WHCRWRIO,1,0,visible,,,,,taxable,,1,,,0,0,,505,370,375,1,,3358,3950,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/d0Svqc9k/Rio.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
Wall Hung Closet - Omega,1017,simple,WHCOMEGA,1,0,visible,,,,,taxable,,1,,,0,0,,515,355,390,1,,3358,3950,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/BnmfgfkY/Omega.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Socca,,,,
