Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
One Piece Closet - Alex,2001,simple,OPCALX,1,0,visible,,,,,taxable,,1,,,0,0,,660,360,725,1,,7480,8800,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/YjBpjD3t/Alex.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,100 & 225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Beetle,2002,simple,OPCBTLE,1,0,visible,,,,,taxable,,1,,,0,0,,655,350,740,1,,7642,8990,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/rwJrX5VD/Beetle-one-piece.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,100 & 225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Clair,2003,simple,OPCCLAIR,1,0,visible,,,,,taxable,,1,,,0,0,,700,350,690,1,,7642,8990,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/sgVMc1Ys/Clair-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,100 & 225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Eva,2004,simple,OPCEVA,1,0,visible,,,,,taxable,,1,,,0,0,,715,405,685,1,,6673,7850,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/SKRjB51P/Eva.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,100 & 225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Libia,2005,simple,OPCLIBIA,1,0,visible,,,,,taxable,,1,,,0,0,,715,385,760,1,,9223,10850,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/SszRs9h7/Libia-1-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Louis,2006,simple,OPCLOUIS,1,0,visible,,,,,taxable,,1,,,0,0,,690,360,830,1,,15130,17800,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/x1TdmhQd/LOuis-1-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,300 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Natalia,2007,simple,OPCNATALIA,1,0,visible,,,,,taxable,,1,,,0,0,,675,390,790,1,,12240,14400,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/RFfC9z7g/Natalia-1-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 & 300 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Neon,2008,simple,OPCNEON,1,0,visible,,,,,taxable,,1,,,0,0,,675,355,730,1,,9945,11700,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/90YWRtNT/Neon-1-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 & 300 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Opal,2009,simple,OPCOPAL,1,0,visible,,,,,taxable,,1,,,0,0,,715,380,775,1,,9223,10850,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/ncTFn2mf/opal.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 & 300 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Pieceg Closet - Palestine,2010,simple,OPCPALASTN,1,0,visible,,,,,taxable,,1,,,0,0,,670,360,750,1,,8883,10450,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/MKsSCTkW/Palestine-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Space,2011,simple,OPCSPACE,1,0,visible,,,,,taxable,,1,,,0,0,,670,360,730,1,,8925,10500,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/sgqR2NDq/space.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
One Piece Closet - Spania,2012,simple,OPCSPANIA,1,0,visible,,,,,taxable,,1,,,0,0,,715,370,660,1,,7225,8500,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/V6cQq0tF/Spania-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S-Trap,1,0,Trap Distance,225 & 300 mm,1,0,,Color,Off White,1,0,Brand Name,Soncera,1,0,,
