Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Wall Hung Basin Sharp,2025,simple,WHBSHRP,1,0,visible,,,,,taxable,,1,,,0,0,,450,330,180,1,,587,690,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/MHCf8t22/Sharp-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin Norris,2026,simple,WHBNORIS,1,0,visible,,,,,taxable,,1,,,0,0,,440,340,185,1,,761,895,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/0QrzMh91/Norris-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin Class,2027,simple,WHBCLASS,1,0,visible,,,,,taxable,,1,,,0,0,,450,300,190,1,,587,690,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/bYsC0Rgz/Class-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung  Basin - Splash,2028,simple,WHBSPLASH,1,0,visible,,,,,taxable,,1,,,0,0,,510,425,160,1,,1020,1200,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/T3BBmDV7/Splash-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung  Basin - Nigel,2029,simple,WHBNIGEL,1,0,visible,,,,,taxable,,1,,,0,0,,400,310,140,1,,1318,1550,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/nhvBn8hd/Nigel-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin - Noel,2030,simple,WHBNOEL,1,0,visible,,,,,taxable,,1,,,0,0,,375,265,160,1,,587,690,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/h459rbY0/Noel-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin - Pristy,2031,simple,WHBPRISTY,1,0,visible,,,,,taxable,,1,,,0,0,,495,285,120,1,,1054,1240,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/vHBKNzX2/Pristy-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin - Gramy,2032,simple,WHBGRAMY,1,0,visible,,,,,taxable,,1,,,0,0,,415,415,205,1,,616,725,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/3wC9R4nD/Gremy-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin - Trenz,2033,simple,WHBTRENZ,1,0,visible,,,,,taxable,,1,,,0,0,,415,415,205,1,,757,890,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/T2H0pXqQ/Trenz-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin - Leire,2036,simple,WHBLEIRE,1,0,visible,,,,,taxable,,1,,,0,0,,485,430,350,1,,3910,4600,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/R09QjC4C/Leire-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
Wall Hung Basin - Kubix,2037,simple,WHBKUBIX,1,0,visible,,,,,taxable,,1,,,0,0,,485,430,385,1,,5483,6450,Bathroom > Wash Basin > Wall Hung,,,https://i.postimg.cc/0j6ppbdn/Kubix-1.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,Color,Off White,1,0,Brand Name,Soncera,,,,
