Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
Single Piece Closet - Dream (S-Trap),8001,simple,SNTSPCDRM-S,1,0,visible,,,,,taxable,,0,0,,0,0,,660,370,746,1,,12142,14285,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/jqFrHtX6/Dream.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Single Piece Closet - Vega,8002,simple,SNTSPCVGA,1,0,visible,,,,,taxable,,0,0,,0,0,,675,360,740,1,,12142,14285,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/k5fH7vYN/Vega.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Single Piece Closet - Duster ,8003,simple,SNTSPCDUSTR,1,0,visible,,,,,taxable,,0,0,,0,0,,675,350,725,1,,10685,12570,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/mkFpNfLV/Duster-P-S.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Single Piece Closet - Cruze,8004,simple,SNTSPCCRUZ,1,0,visible,,,,,taxable,,0,0,,0,0,,640,350,725,1,,12142,14285,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/bYDqFZdV/Cruze.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Single Piece Closet - Force,8005,simple,SNTSPCFRCE,1,0,visible,,,,,taxable,,0,0,,0,0,,630,340,715,1,,10685,12570,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/kXWqqLQx/Force.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Single Piece Closet - Grand,8006,simple,SNTSPCGRND,1,0,visible,,,,,taxable,,0,0,,0,0,,685,355,725,1,,10685,12570,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/k5gmN4kc/Grand.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Single Piece Closet - Winger,8007,simple,SNTSPCWNGR,1,0,visible,,,,,taxable,,0,0,,0,0,,645,350,700,1,,8258,9715,Bathroom > Toilet > One Piece Toilet,,,https://i.postimg.cc/cHKGjz1t/Winger.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Commander,8008,simple,SNTWHCCOMNDR,1,0,visible,,,,,taxable,,0,0,,0,0,,520,370,,1,,7166,8430,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/Y01ZBK50/Commander.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Crown,8009,simple,SNTWHCCRWN,1,0,visible,,,,,taxable,,0,0,,0,0,,500,350,,1,,6558,7715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/XNFTCdrW/Crown.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Casio,8010,simple,SNTWHCCASIO,1,0,visible,,,,,taxable,,0,0,,0,0,,505,355,,1,,6558,7715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/Zq2M95Z0/Casio.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Carla,8011,simple,SNTWHCCARLA,1,0,visible,,,,,taxable,,0,0,,0,0,,505,365,,1,,5342,6285,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/9M9NyHFb/Carla.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Comlex,8012,simple,SNTWHCCOMLEX,1,0,visible,,,,,taxable,,0,0,,0,0,,505,345,,1,,6558,7715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/5NgKB31h/Comiex.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Croma,8013,simple,SNTWHCCROMA,1,0,visible,,,,,taxable,,0,0,,0,0,,480,345,,1,,6558,7715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/hjVpf8p3/Croma.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Crenza,8014,simple,SNTWHCCRENZA,1,0,visible,,,,,taxable,,0,0,,0,0,,505,355,,1,,6558,7715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/Xq3xFZPN/Crenza.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Wipro,8015,simple,SNTWHCWIPRO,1,0,visible,,,,,taxable,,0,0,,0,0,,535,360,,1,,4373,5145,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/Cxd7jpc8/Vipro.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Normus,8016,simple,SNTWHCNORMUS,1,0,visible,,,,,taxable,,0,0,,0,0,,530,370,,1,,4373,5145,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/1t1Khns0/Normus.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Mega,8017,simple,SNTWHCMEGA,1,0,visible,,,,,taxable,,0,0,,0,0,,480,355,,1,,4008,4715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/cCX7nFYT/Mega.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Pyramid,8018,simple,SNTWHCPYRAMID,1,0,visible,,,,,taxable,,0,0,,0,0,,535,380,,1,,11658,13715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/3JxFTH5q/Pyramid.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Corolla (530X350MM),8019,simple,SNTWHCCOROLA530,1,0,visible,,,,,taxable,,0,0,,0,0,,530,350,,1,,4373,5145,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/qvtcNX7X/Corolla.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Wall Hung Closet - Corolla (500X350MM),8020,simple,SNTWHCCOROLA500,1,0,visible,,,,,taxable,,0,0,,0,0,,500,350,,1,,4008,4715,Bathroom > Toilet > Wall Hung Toilet,,,https://i.postimg.cc/qvtcNX7X/Corolla.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
