Name,ID,Type,SKU,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (mm),Width (mm),Height (mm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 default,Attribute 6 default
European Water Closet - Octavia (S-Trap),9001,simple,SNTEWCOCTVAS,1,0,visible,,,,,taxable,,0,0,,0,0,,520,355,390,1,,,5715,Bathroom > Toilet > EWC,,,https://i.postimg.cc/CxnJKhFX/Octavia.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S Trap,1,0,Trap Size,100 MM,1,0,,,,1,0,Brand Name,Sonet,1,0,,
European Water Closet - Euro (S-Trap),9002,simple,SNTEWCEUROS,1,0,visible,,,,,taxable,,0,0,,0,0,,470,360,400,1,,,2145,Bathroom > Toilet > EWC,,,https://i.postimg.cc/xdKRK6NP/Euro.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S Trap,1,0,Trap Size,100 MM,1,0,,,,1,0,Brand Name,Sonet,1,0,,
European Water Closet - Vitra (P-Trap),9003,simple,SNTEWCVTRAP,1,0,visible,,,,,taxable,,0,0,,0,0,,475,355,390,1,,,1600,Bathroom > Toilet > EWC,,,https://i.postimg.cc/9MCB1yGH/Vitra.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,P Trap,1,0,,,1,0,,,,1,0,Brand Name,Sonet,1,0,,
European Water Closet - Eco (S-Trap),9004,simple,SNTEWCECOS,1,0,visible,,,,,taxable,,0,0,,0,0,,465,550,395,1,,,1600,Bathroom > Toilet > EWC,,,https://i.postimg.cc/FzKVXmWP/Eco.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,Trap Type,S Trap,1,0,Trap Size,100 MM,1,0,,,,1,0,Brand Name,Sonet,1,0,,
Urinal - Sega ,9005,simple,SNTURNLSEGA,1,0,visible,,,,,taxable,,0,0,,0,0,,310,280,610,1,,,4860,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/JzXcLpxW/Sega.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Urinal - Fearo,9006,simple,SNTURNLFEARO,1,0,visible,,,,,taxable,,0,0,,0,0,,310,310,510,1,,,2570,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/KYy7vtp3/Fearo.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Urinal - Spark (With Sensor),9007,simple,SNTURNLSPRK,1,0,visible,,,,,taxable,,0,0,,0,0,,320,305,690,1,,,12860,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/pdYf9y3G/Spark.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Urinal - Volga,9008,simple,SNTURNLVLGA,1,0,visible,,,,,taxable,,0,0,,0,0,,570,330,345,1,,,4860,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/sXjp5srV/Volga.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Urinal - Nano,9009,simple,SNTURNLNANO,1,0,visible,,,,,taxable,,0,0,,0,0,,270,250,400,1,,,1285,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/DfYq49YT/Nano.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
Urinal - Large,9010,simple,SNTURNLLRGE,1,0,visible,,,,,taxable,,0,0,,0,0,,350,370,590,1,,,3430,Bathroom > Toilet > Pan & Urinal,,,https://i.postimg.cc/Nf3mp1cC/Large.jpg,,,,,,,,,,Material,Ceramic,1,0,Warranty,7 Years,1,0,,,,,,,,,,,,,,,Brand Name,Sonet,1,0,,
