post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Application,attribute_data:Application,attribute_default:Application,attribute:Applications,attribute_data:Applications,attribute_default:Applications,"attribute:Bowl Size","attribute_data:Bowl Size","attribute_default:Bowl Size",attribute:Brand,attribute_data:Brand,attribute_default:Brand,"attribute:Brand Name","attribute_data:Brand Name","attribute_default:Brand Name",attribute:Capacity,attribute_data:Capacity,attribute_default:Capacity,attribute:Color,attribute_data:Color,attribute_default:Color,attribute:Colors,attribute_data:Colors,attribute_default:Colors,attribute:Dimension,attribute_data:Dimension,attribute_default:Dimension,attribute:Finish,attribute_data:Finish,attribute_default:Finish,attribute:Group,attribute_data:Group,attribute_default:Group,"attribute:Half Bowl Dimensions","attribute_data:Half Bowl Dimensions","attribute_default:Half Bowl Dimensions","attribute:Inlet Connection Size","attribute_data:Inlet Connection Size","attribute_default:Inlet Connection Size","attribute:Installation Type","attribute_data:Installation Type","attribute_default:Installation Type","attribute:Key Feature","attribute_data:Key Feature","attribute_default:Key Feature",attribute:Material,attribute_data:Material,attribute_default:Material,"attribute:Package Content","attribute_data:Package Content","attribute_default:Package Content","attribute:Package Contents","attribute_data:Package Contents","attribute_default:Package Contents",attribute:Quantity,attribute_data:Quantity,attribute_default:Quantity,"attribute:Room Type","attribute_data:Room Type","attribute_default:Room Type","attribute:Salient Features","attribute_data:Salient Features","attribute_default:Salient Features","attribute:Seating Height","attribute_data:Seating Height","attribute_default:Seating Height","attribute:Shelf Life","attribute_data:Shelf Life","attribute_default:Shelf Life","attribute:Single Bowl Dimensions","attribute_data:Single Bowl Dimensions","attribute_default:Single Bowl Dimensions",attribute:Size,attribute_data:Size,attribute_default:Size,"attribute:Suitable For","attribute_data:Suitable For","attribute_default:Suitable For","attribute:Surface Finish","attribute_data:Surface Finish","attribute_default:Surface Finish",attribute:Thichness,attribute_data:Thichness,attribute_default:Thichness,attribute:Thickness,attribute_data:Thickness,attribute_default:Thickness,"attribute:Trap Size","attribute_data:Trap Size","attribute_default:Trap Size","attribute:Trap Type","attribute_data:Trap Type","attribute_default:Trap Type",attribute:Type,attribute_data:Type,attribute_default:Type,attribute:Warranty,attribute_data:Warranty,attribute_default:Warranty,attribute:Weight,attribute_data:Weight,attribute_default:Weight,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material
"Portable Toilet",fovit-portable-toilet,,59,"Excellent Helper For Going Out, Essential Partner for Travelling, Essential For Nursing Homes and Medical Institutions, Essential for Rental House, Weight Handling Capacity 100KG",,publish,,0,"2020-05-28 14:59:20",1,open,FVTPT01,,,no,no,,3950,2370,,400,350,250,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Plastic-Mobile-Portable-Toilet-for-Elderly-and-2.jpg ! alt :  ! title : Plastic-Mobile-Portable-Toilet-for-Elderly-and-2 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/05/NP002-4.jpg ! alt :  ! title : NP002 -4 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/05/portable-t-1.jpg ! alt :  ! title : portable t ! desc :  ! caption : ",,https://shop.abchauz.com/product/fovit-portable-toilet/,simple,,"Bathroom > Toilet > Toilet Seat Covers","Bathroom Accessories|Bathroom Fittings|Portable Toilet",,,,,,,,,,,Fovit,3|1|0,,,,,,,,"White and Green",1|1|0,,,,,,,,,,,Toilet,5|0|0,,,,,,,,,,,,,,Plastic,0|1|0,,"1 Piece Portable toilet",4|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Years",2|1|0,,,,,,,
"Squatting Pan Lid",fovit-squatting-pan-lid,,65,"To Avoid Children and Elder People to stepping to squatting pan, Avoid Mobile Phones and Soap Dropping Down to Drain Pipes, Avoid Mice coming from Drain Pipes, Weight Capacity 300 KG.",,publish,,0,"2020-05-28 16:21:55",1,open,FVTSPL01,,,no,no,,1390,835,,530,430,80,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/SQUATTING-PAN-LID-1.jpg ! alt :  ! title : SQUATTING-PAN-LID ! desc :  ! caption : ",,https://shop.abchauz.com/product/fovit-squatting-pan-lid/,simple,,"Bathroom > Toilet > Toilet Seat Covers","Bathroom Accessories|Bathroom Fixtures|Fovit Squatting Pan Lid",,,,,,,,,,,Fovit,3|1|0,,,,,,,,"Off White",1|1|0,,,,,,,,,,,Toilet,5|0|0,,,,,,,,,,,,,,"High-Quality Plastic",0|1|0,,"1 Squatting Pan Lid",4|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Years",2|1|0,,,,,,,
"Plato Angle Cock- Fabious AV001",plato-angle-cock-fabious-av001,,76,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-05-28 16:47:15",1,open,PLTAV001,,,no,no,,480,370,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Fabious-Angle-Cock-3.jpg ! alt :  ! title : Fabious Angle Cock ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/05/Fabious-Angle-Cock-2-2.jpg ! alt :  ! title : Fabious Angle Cock-2 ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-fabious-av001/,simple,,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Years",4|1|0,,,,,,,
"Plato Angle Cock -Italic AV002",plato-angle-cock-italic-av002,,78,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-05-28 17:09:48",1,open,PLTAV002,,,no,no,,480,370,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Italik-Angle-Cock-3.jpg ! alt :  ! title : Italik Angle Cock ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/05/Italik-Angle-Cock-2-2.jpg ! alt :  ! title : Italik Angle Cock-2 ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-italic-av002/,simple,,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Years",4|1|0,,,,,,,
"Plato Angle Cock- Art AV003",plato-angle-cock-art-av003,,80,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-05-28 17:16:30",1,open,PLTAV003,,,no,no,,480,370,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Art-Angle-Cock-2.jpg ! alt :  ! title : Art Angle Cock ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-art-av003/,simple,,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Years",4|1|0,,,,,,,
"Plato Angle Cock-Zepo Z004",plato-angle-cock-zepo-z004,,82,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-05-28 17:27:21",1,open,PLTZ004,,,no,no,,498,390,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Zepo-Angle-Cock-1.jpg ! alt :  ! title : Zepo Angle Cock ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-zepo-z004/,simple,,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock|Zepo Series",,,,,,,,,,,Plato,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Years",4|1|0,,,,,,,
"Plato Angle Cock- Quadro AV004",plato-angle-cock-quadro-av004,,95,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-05-30 12:11:30",1,open,PLTAV004,,,no,no,,450,350,,,,,,,outofstock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Quardro-Angle-Cock-2.jpg ! alt :  ! title : Quardro Angle Cock ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-quadro-av004/,simple,outofstock,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,4|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,6|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",3|1|0,,,,,,,,,,,,,,,,,,,,,,,15MM,2|1|0,,,,,,,,,,,,,,,,,,,,,,,"5 Years",5|1|0,,,,,,,
"Plato Angle Cock - Project AV005",plato-angle-cock-project-av005,,97,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-05-30 12:37:23",1,open,PLTAV005,,,no,no,,360,280,,,,,,,outofstock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/05/Project-Angle-Cock-2.jpg ! alt :  ! title : Project Angle Cock ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-project-av005/,simple,outofstock,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,4|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,6|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",3|1|0,,,,,,,,,,,,,,,,,,,,,,,15MM,2|1|0,,,,,,,,,,,,,,,,,,,,,,,"5 Years",5|1|0,,,,,,,
"Plato Angle Cock- Lotus AV006",plato-angle-cock-lotus-av006,,99,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-06-01 10:13:24",1,open,PLTAV006,,,no,no,,360,280,,,,,,,outofstock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/06/lotus-Angle-Cock-2.jpg ! alt :  ! title : lotus Angle Cock ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-lotus-av006/,simple,outofstock,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,4|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,6|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock and Wall Flange",3|1|0,,,,,,,,,,,,,,,,,,,,,,,"inlet connection 15 mm",2|1|0,,,,,,,,,,,,,,,,,,,,,,,"5 Years",5|1|0,,,,,,,
"Plato Angle Cock-Twist AV007",plato-angle-cock-twist-av007,,101,"Plato Forged Angle valve is one of the best angle valves available in the Indian market today. We produce the finest, Toughest, and smooth operating angle valve with a variety of features that cant be found in any other angle valve in India.

Plato’s forged brass Angle valve product line is intended for general and special-purpose use.  Please be aware that Angle valves are intended for use in the fully open or closed position.",,publish,,0,"2020-06-01 10:18:15",1,open,PLTAV007,,,no,no,,360,280,,,,,,,instock,no,no,,no,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/06/Twist-Angle-Cock-2.jpg ! alt :  ! title : Twist Angle Cock ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/06/Twist-Angle-Cock-02-2.jpg ! alt :  ! title : Twist Angle Cock-02 ! desc :  ! caption : ",,https://shop.abchauz.com/product/plato-angle-cock-twist-av007/,simple,,"Bathroom > Accessories > Angle Cock/Stop Cock|Bathroom","Plato Angle Cock",,,,,,,,,,,Plato,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 Years",4|1|0,,,,,,,
