id,name,,brand,color,group,hexcolor,material,package_content,trap_size,trap_type,warranty,weight
5407,Toilet Seat Cover - Sandy (With Jet),,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5406,Toilet Seat Cover - Sandy,,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5405,Toilet Seat Cover - Effo (With Jet),,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5404,Toilet Seat Cover - Effo,,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5403,Toilet Seat Cover - Anglo (With Jet),,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5402,Toilet Seat Cover - Cascade (With Jet),,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5401,Toilet Seat Cover - Cascade,,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5400,Toilet Seat Cover - Pyramid (Soft Close),,SONET,WHITE,TOILET,#FFFFFF,PLASTIC,TOILET SEAT COVER ONLY,,,7 YEARS,
5399,"Spanish Pan 21""",,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,SPANISH PAN ONLY,,,7 YEARS,
5398,"C T Pan 23""",,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,CT PAN ONLY,,,7 YEARS,
5397,"C T Pan 20""",,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,CT PAN ONLY,,,7 YEARS,
5396,"Italian Pan 21""",,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,ITALIAN PAN ONLY,,,7 YEARS,
5395,"Orissa Pan 23""",,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,ORISSA PAN ONLY,,,7 YEARS,
5394,Urinal Partition,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL PARTITION ONLY,,,7 YEARS,
5393,Squating Urinal,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5392,Urinal - Flatback,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5391,Urinal - Large,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5390,Urinal - Nano,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5389,Urinal - Volga,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5388,Urinal - Spark (With Sensor),,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5387,Urinal - Fearo,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5386,Urinal - Sega,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,URINAL ONLY,,,7 YEARS,
5385,European Water Closet - Eco (S-Trap),,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,EWC ONLY,100 MM,S TRAP,7 YEARS,
5384,European Water Closet - Vitra (P-Trap),,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,EWC ONLY,,,7 YEARS,
5383,European Water Closet - Euro (S-Trap),,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,EWC ONLY,100 MM,,7 YEARS,
5382,European Water Closet - Octavia (S-Trap),,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,EWC ONLY,100 MM,S TRAP,7 YEARS,
5381,Table Top Wash Basin - Solo,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,,,,7 YEARS,
5380,Wall Hung Toilet - Cosmo,,SONET,WHITE,TOILET,#FFFFFF,CERAMIC,WALL HUNG TOILET ONLY,,,7 YEARS,
