id,name,structure,parent_id,brand,dimension,installation_type,material,package_content,warranty
5904,Table Top Wash Basin - Octagon WG-02,standalone,,SONET,400x400x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5903,Table Top Wash Basin - Octagon WS-02,standalone,,SONET,400x400x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5902,Table Top Wash Basin - Core WS-02,standalone,,SONET,620x410x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5901,Table Top Wash Basin - Core WG-01,standalone,,SONET,440x440x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5900,Table Top Wash Basin - Cello BG-02,standalone,,SONET,600x400x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY </p>,7 YEARS
5899,Table Top Wash Basin - Cello BG-01,standalone,,SONET,600x400x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5898,Table Top Wash Basin - Arrow WG-03,standalone,,SONET,620x410x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5897,Table Top Wash Basin - Arrow S-02,standalone,,,,,,,
5896,Table Top Wash Basin - Arrow G-01,standalone,,SONET,620x410x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5895,Table Top Wash Basin - Compact BG-03,standalone,,SONET,385x385x140 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5894,Table Top Wash Basin - Clivia WG-03,standalone,,SONET,440x440x130MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5893,Table Top Wash Basin - Clivia WG-02,standalone,,SONET,440x440x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5892,Table Top Wash Basin - Clivia WG-01,standalone,,,,,,,
5891,Table Top Wash Basin - Salomon BG-01,standalone,,SONET,425x425x120 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5890,Table Top Wash Basin - Shui,standalone,,SONET,560x420x180 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5889,Table Top Wash Basin - Cover RG-001,standalone,,SONET,480x360x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5888,Table Top Wash Basin - Strawberry,standalone,,SONET,460X460 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5887,Table Top Wash Basin - Scoop Square-Mocca (Matte),standalone,,,,,,,
5886,Table Top Wash Basin - Scoop Square-Caramel (Matte),standalone,,SONET,420x420x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5885,Table Top Wash Basin - Scoop S-002,standalone,,SONET,420x420x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5884,Table Top Wash Basin - Scoop Round R-001,standalone,,SONET,420x420x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5883,Table Top Wash Basin - Scoop Round-Black Matt,standalone,,SONET,420x420x115 MM,TABLE TOP,CERMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5882,Table Top Wash Basin - Scoop Round-Red Matt,standalone,,SONET,420x420x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5881,Table Top Wash Basin - Scoop Round-Orange Matt,standalone,,SONET,420x420x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5880,Table Top Wash Basin - Scoop Round White Matt,standalone,,SONET,420x420x115 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5879,Table Top Wash Basin - Aris,standalone,,SONET,475x295x155 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5878,Table Top Wash Basin - Cello-141,standalone,,SONET,620x460x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5877,Table Top Wash Basin - Cello,standalone,,SONET,620x460x150 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5876,Table Top Wash Basin - Iris,standalone,,SONET,475x295x155 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5875,Table Top Wash Basin - Viva-4006,standalone,,SONET,510x315x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5874,Table Top Wash Basin - Viva,standalone,,SONET,510x315x130 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5873,Table Top Wash Basin - Sonata-S2,standalone,,SONET,490x490x220 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5872,Table Top Wash Basin with stand - Sonata,standalone,,SONET,380x380x220 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5871,Table Top Wash Basin - Opera-171,standalone,,SONET,485x380 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5870,Table Top Wash Basin - Curva,standalone,,SONET,560x435 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5869,Table Top Wash Basin - Lara-011,standalone,,SONET,480x480x160 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5868,Table Top Wash Basin - New Bolo-3014,standalone,,SONET,390x390x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5867,Table Top Wash Basin - New Bolo-3013,standalone,,SONET,390x390x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5866,Table Top Wash Basin - New Bolo-3012,standalone,,SONET,390x390x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7YEARS
5865,Table Top Wash Basin - Bolo-Bamboo,standalone,,SONET,390x390x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5864,Table Top Wash Basin with Stand - Bolo,standalone,,SONET,390x390x145 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
5863,Table Top Wash Basin - Linea-001,standalone,,SONET,410x410x110 MM,TABLE TOP,CERAMIC,<p>WASH BASIN ONLY</p>,7 YEARS
